model,clipped_mass
llava15,0.000000
llava15,0.499700
llava15,0.498696
llava15,0.499588
llava15,0.499040
llava15,0.488524
llava15,0.491538
llava15,0.488545
llava15,0.500000
llava15,0.482487
llava15,0.493919
llava15,0.483021
llava15,0.493222
llava15,0.499964
llava15,0.488013
llava15,0.500001
llava15,0.496045
llava15,0.455167
llava15,0.489877
llava15,0.434678
llava15,0.499623
llava15,0.453674
llava15,0.497573
llava15,0.497952
llava15,0.499997
llava15,0.499997
llava15,0.500002
llava15,0.498517
llava15,0.499747
llava15,0.499897
llava15,0.499813
llava15,0.493277
llava15,0.499951
llava15,0.499810
llava15,0.499978
llava15,0.051468
llava15,0.494916
llava15,0.499989
llava15,0.493742
llava15,0.499826
llava15,0.499395
llava15,0.499994
llava15,0.492269
llava15,0.499994
llava15,0.496384
llava15,0.499902
llava15,0.492136
llava15,0.498357
llava15,0.489654
llava15,0.499202
llava15,0.480623
llava15,0.499998
llava15,0.499349
llava15,0.498739
llava15,0.476055
llava15,0.497670
llava15,0.496486
llava15,0.493070
llava15,0.500000
llava15,0.499999
llava15,0.499718
llava15,0.494574
llava15,0.498878
llava15,0.499991
llava15,0.495983
llava15,0.499619
llava15,0.488657
llava15,0.497933
llava15,0.499854
llava15,0.435765
llava15,0.499969
llava15,0.480615
llava15,0.499407
llava15,0.489152
llava15,0.499959
llava15,0.499999
llava15,0.436461
llava15,0.399647
llava15,0.499918
llava15,0.499998
llava15,0.500002
llava15,0.499476
llava15,0.499977
llava15,0.494447
llava15,0.499839
llava15,0.499991
llava15,0.495937
llava15,0.499996
llava15,0.499456
llava15,0.498894
llava15,0.497958
llava15,0.499862
llava15,0.499975
llava15,0.000000
llava15,0.000000
llava15,0.000000
llava15,0.000000
llava15,0.000000
llava15,0.499999
llava15,0.494182
llava15,0.499978
llava15,0.499996
llava15,0.342819
llava15,0.131958
llava15,0.499993
llava15,0.499999
llava15,0.498108
llava15,0.498729
llava15,0.497045
llava15,0.499986
llava15,0.468112
llava15,0.479607
llava15,0.499955
llava15,0.418980
llava15,0.497896
llava15,0.499992
llava15,0.484327
llava15,0.396225
llava15,0.499574
llava15,0.500003
llava15,0.496131
llava15,0.499960
llava15,0.492418
llava15,0.499328
llava15,0.499095
llava15,0.499991
