model,method,has_negative,negative_mass
LLaVA-1.5,VASE,False,0.0
LLaVA-1.5,VASE,False,0.0
LLaVA-1.5,VASE,True,0.49971267580986023
LLaVA-1.5,VASE,True,0.500001072883606
LLaVA-1.5,VASE,True,0.49996185302734375
LLaVA-1.5,VASE,True,0.0005022032419219613
LLaVA-1.5,VASE,True,0.3444955348968506
LLaVA-1.5,VASE,True,0.49999889731407166
LLaVA-1.5,VASE,True,0.4999307096004486
LLaVA-1.5,VASE,True,0.049542516469955444
LLaVA-1.5,VASE,True,2.5635257770773023e-05
LLaVA-1.5,VASE,True,0.0340910367667675
LLaVA-1.5,VASE,True,0.4701542854309082
LLaVA-1.5,VASE,True,0.4999387562274933
LLaVA-1.5,VASE,True,0.4999993145465851
LLaVA-1.5,VASE,True,0.500002384185791
LLaVA-1.5,VASE,True,0.4918215572834015
LLaVA-1.5,VASE,True,0.49859619140625
LLaVA-1.5,VASE,True,0.49999985098838806
LLaVA-1.5,VASE,True,0.5000014901161194
LLaVA-1.5,VASE,True,0.30725452303886414
LLaVA-1.5,VASE,True,0.4811922609806061
LLaVA-1.5,VASE,True,0.5000035166740417
LLaVA-1.5,VASE,True,0.4960835874080658
LLaVA-1.5,VASE,True,0.4991373121738434
LLaVA-1.5,VASE,True,0.4912809431552887
LLaVA-1.5,VASE,True,0.4999990463256836
LLaVA-1.5,VASE,True,0.4920475482940674
LLaVA-1.5,VASE,True,0.4379938840866089
LLaVA-1.5,VASE,True,0.49989834427833557
LLaVA-1.5,VASE,True,0.4966004490852356
LLaVA-1.5,VASE,True,0.4992494583129883
LLaVA-1.5,VASE,True,0.5000000596046448
LLaVA-1.5,VASE,True,0.09708147495985031
LLaVA-1.5,VASE,True,0.49422985315322876
LLaVA-1.5,VASE,True,0.49980032444000244
LLaVA-1.5,VASE,True,0.4814530909061432
LLaVA-1.5,VASE,True,0.4999849200248718
LLaVA-1.5,VASE,True,0.49999743700027466
LLaVA-1.5,VASE,True,0.5000032782554626
LLaVA-1.5,VASE,True,0.4999934732913971
LLaVA-1.5,VASE,True,0.49999773502349854
LLaVA-1.5,VASE,True,0.49827706813812256
LLaVA-1.5,VASE,True,0.4997566044330597
LLaVA-1.5,VASE,True,0.499999463558197
LLaVA-1.5,VASE,True,0.49990975856781006
LLaVA-1.5,VASE,True,0.4914637506008148
LLaVA-1.5,VASE,True,0.4998241662979126
LLaVA-1.5,VASE,True,0.48326265811920166
LLaVA-1.5,VASE,True,0.4988842010498047
LLaVA-1.5,VASE,True,0.49656563997268677
LLaVA-1.5,VASE,True,0.4997488260269165
LLaVA-1.5,VASE,True,0.4999992549419403
LLaVA-1.5,VASE,True,0.5000000596046448
LLaVA-1.5,VASE,True,0.3259435296058655
LLaVA-1.5,VASE,True,0.45826664566993713
LLaVA-1.5,VASE,True,0.4975593090057373
LLaVA-1.5,VASE,True,0.4997442662715912
LLaVA-1.5,VASE,True,0.4883897602558136
LLaVA-1.5,VASE,True,0.499697744846344
LLaVA-1.5,VASE,True,0.49375396966934204
LLaVA-1.5,VASE,True,0.4999561309814453
LLaVA-1.5,VASE,True,0.49999991059303284
LLaVA-1.5,VASE,True,0.5000012516975403
LLaVA-1.5,VASE,True,0.5000020861625671
LLaVA-1.5,VASE,True,0.4999983012676239
LLaVA-1.5,VASE,True,0.43149396777153015
LLaVA-1.5,VASE,True,0.4955679476261139
LLaVA-1.5,VASE,True,0.44454866647720337
LLaVA-1.5,VASE,True,0.4999971091747284
LLaVA-1.5,VASE,True,0.49999645352363586
LLaVA-1.5,VASE,True,0.48118892312049866
LLaVA-1.5,VASE,True,0.49989038705825806
LLaVA-1.5,VASE,True,0.499957799911499
LLaVA-1.5,VASE,True,0.49956214427948
LLaVA-1.5,VASE,True,0.4989980459213257
LLaVA-1.5,VASE,True,0.4992564618587494
LLaVA-1.5,VASE,True,0.4998062252998352
LLaVA-1.5,VASE,True,0.4997934401035309
LLaVA-1.5,VASE,True,0.49997153878211975
LLaVA-1.5,VASE,True,0.4890799820423126
LLaVA-1.5,VASE,True,0.49455684423446655
LLaVA-1.5,VASE,True,0.3197038769721985
LLaVA-1.5,VASE,True,0.48823297023773193
LLaVA-1.5,VASE,True,0.4413923919200897
LLaVA-1.5,VASE,True,0.47869396209716797
